word,preference,occurrences,song_count,songs
lunker,607.142755229609,1,1,Infinity Fill Goose Down
hammerstone,607.142755229609,1,1,All City Nerve Map
suckas,604.0211986474516,3,1,100 Feet Tall
encrust,593.3440562471178,1,1,Odessa
flurried,593.3440562471178,1,1,Coordinates
offin,593.3440562471178,1,1,Dorks
dowsed,593.3440562471178,1,1,Troubled Waters
oint,593.3440562471178,1,1,Numb (to the Guns)
pollywog,593.3440562471178,1,1,"Food, Clothes, Medicine"
crocea,593.3440562471178,1,1,ZZZ Top
metamorph,590.3624278237655,3,3,"Big Bang; The Tugboat Complex Pt. 3; The Tugboat Complex, Part 3"
smackin,582.315356316874,2,2,The Yes and the Y’all; 6B Panorama
post-meridiem,580.1586327749596,1,1,Cycles to Gehenna
ferrymen,580.1586327749596,1,1,Leisureforce
discoloring,569.6102939972332,2,2,The Mayor and the Crook; Plastic Soldiers
budges,567.5464885841997,1,1,Wise Up
tumbo,567.5464885841997,1,1,Pizza Alley
whammies,567.5464885841997,1,1,Kill the Messenger
dirtbike,557.4477966165093,4,2,Tetra; Kyanite Toothpick
bendin,555.4710313802806,1,1,No Jumper Cables
sentimentalize,555.4710313802806,1,1,Dorks
braniac,555.4710313802806,1,1,Pigs
syncopate,555.4710313802806,1,1,Plastic Soldiers
daytripper,555.4710313802806,1,1,The Greatest Pac-Man Victory in History
donezo,555.4710313802806,1,1,The Gates
strokin,540.1476925835831,1,1,Bad Samaritan
trollops,540.1476925835831,1,1,Tomorrow Morning
leavin,531.326185041389,27,3,Getaway Car; Skip Town; The Active Element
burgerville,529.1987528690511,1,1,Supercell
clickin,529.1987528690511,1,1,Limelighters/Flunkadelic Interlude
justins,529.1987528690511,1,1,Sniff Glue
kools,529.1987528690511,1,1,Mystery Fish
skele-ton,529.1987528690511,1,1,Coordinates
whinin,529.1987528690511,1,1,Jinx Planet
scientifical,518.6848703617189,1,1,We’re Famous
aimers,518.6848703617189,1,1,Easy
tchotchke,518.6848703617189,1,1,Coffee
bindle,518.6848703617189,2,2,Zero Dark Thirty; Pizza Alley
pluggin,518.6848703617189,1,1,Skip Town
armfuls,518.6848703617189,2,1,Drawbridge
growns,518.6848703617189,1,1,Five Fingers
trops,518.6848703617189,1,1,Plastic Soldiers
ttwo,518.6848703617189,1,1,For The Whole Family
beaning,518.6848703617189,1,1,"1,000 O’ Clock"
landshark,518.6848703617189,2,2,9-5'ers Anthem; How to Be a Carpenter
timb,518.6848703617189,1,1,Kill the Messenger
rattletrap,505.29945435238426,1,1,Cycles to Gehenna
neubauten,505.29945435238426,1,1,Blood Sandwich
nabbit,505.29945435238426,1,1,Numb (to the Guns)
descension,505.29945435238426,1,1,Dryspell
marooning,495.7051609153137,1,1,Gopher Guts
lurkin,495.7051609153137,1,1,Plastic Soldiers
nocturnally,495.7051609153137,1,1,Bazooka Tooth
dutches,495.7051609153137,1,1,Bracket Basher
coooool,495.7051609153137,1,1,We’re Famous
overzealousness,495.7051609153137,1,1,I’ll Be OK
gruesomeness,495.7051609153137,1,1,Pigs
effs,483.4655273124664,1,1,Lotta Years
olk,483.4655273124664,1,1,Horizontal Demo (Instagram 2017)
kitchy,483.4655273124664,1,1,Try Not to Die
chukkas,483.4655273124664,2,2,Salt; Number Nine
gameface,483.4655273124664,1,1,Winners Take All
litterbug,483.4655273124664,1,1,Ace Rocks
steamin,473.24118081341123,2,2,Getaway Car; Limelighters/Flunkadelic Interlude
mushmouth,471.81575556999735,1,1,Babies with Guns
codefendants,471.81575556999735,1,1,Fryerstarter
binaca,471.81575556999735,1,1,Catacomb Kids
taskings,471.81575556999735,1,1,"The Tugboat Complex, Part 3"
splittin,471.81575556999735,1,1,Abandon All Hope
pockmark,471.81575556999735,1,1,We’re Famous
comradery,468.99051152466797,3,3,The Mayor and the Crook; N.Y. Electric; Sick Friend
similac,462.07324734288824,2,2,Fumes; 6B Panorama
moonpie,460.71420838011505,1,1,Gopher Guts
beyotch,460.71420838011505,1,1,Night Light
paranoias,460.71420838011505,1,1,Molecules
windchimes,460.71420838011505,1,1,Kodokushi
bowies,460.71420838011505,1,1,Bring Back Pluto
hock-tooie,452.7249446509801,1,1,Cat Food
rubberneck,451.4202618133692,2,2,"Bring Back Pluto; Food, Clothes, Medicine"
jekyl,450.12307715298596,1,1,Cook it Up
jimmied,450.12307715298596,1,1,Aggressive Steven
caspers,450.12307715298596,1,1,Same Space (The Tugboat Complex pt. 2)
freckling,450.12307715298596,1,1,Dog at the Door
cazal,450.12307715298596,1,1,Dokken Rules
moxi,450.12307715298596,1,1,Gauze
weathermen,449.60628831584125,5,5,Coffee; Citronella; Bring Back Pluto; Fast Cars; Coffee (Main)
fraudulence,441.2474108429271,2,1,Coordinates
pigeonholing,441.2474108429271,2,2,Cook it Up; Hall of Game
scallywags,441.2474108429271,2,2,"Defender; Food, Clothes, Medicine"
polartec,440.00795182370535,1,1,Gauze
tagalongs,440.00795182370535,1,1,Wolf Piss
brigading,440.00795182370535,1,1,Drawbridge
unhinging,440.00795182370535,1,1,Hall of Game
offerin,440.00795182370535,1,1,Tetra
fiending,431.5229499979039,2,2,Shere Kahn; Antisocial
gork,430.33744738801954,1,1,Fixed and Dilated
krakens,430.33744738801954,1,1,Nickel Plated Pockets
caltrop,430.33744738801954,1,1,Holy Waterfall
lopburi,430.33744738801954,1,1,Sleeper Car
calicos,430.33744738801954,1,1,39 Thieves
boxcutter,430.33744738801954,1,1,The Tugboat Complex
fiddlin,430.33744738801954,1,1,All In All
walkie-talkies,424.24100021668926,13,3,Coffee; Winners Take All; Coffee (Main)
